date,4b. close (USD)
2021-03-22,54083.25
2021-03-21,57351.56
2021-03-20,58102.28
2021-03-19,58030.01
2021-03-18,57648.16
2021-03-17,58912.97
2021-03-16,56900.75
2021-03-15,55605.2
2021-03-14,58968.31
2021-03-13,61188.39
2021-03-12,57221.72
2021-03-11,57773.16
2021-03-10,55851.59
2021-03-09,54884.5
2021-03-08,52375.17
2021-03-07,50971.75
2021-03-06,48882.2
2021-03-05,48751.71
2021-03-04,48374.09
2021-03-03,50349.37
2021-03-02,48440.65
2021-03-01,49587.03
2021-02-28,45135.66
2021-02-27,46106.43
2021-02-26,46276.87
2021-02-25,47073.73
2021-02-24,49676.2
2021-02-23,48891.0
2021-02-22,54087.67
2021-02-21,57408.57
2021-02-20,55841.19
2021-02-19,55906.0
2021-02-18,51552.6
2021-02-17,52119.71
2021-02-16,49133.45
2021-02-15,47911.1
2021-02-14,48577.79
2021-02-13,47153.69
2021-02-12,47287.6
2021-02-11,47969.51
2021-02-10,44807.58
2021-02-09,46420.42
2021-02-08,46374.87
2021-02-07,38795.69
2021-02-06,39186.94
2021-02-05,38290.24
2021-02-04,36936.66
2021-02-03,37618.87
2021-02-02,35466.24
2021-02-01,33526.37
2021-01-31,33092.98
2021-01-30,34262.88
2021-01-29,34252.2
2021-01-28,33364.86
2021-01-27,30366.15
2021-01-26,32467.77
2021-01-25,32254.2
2021-01-24,32259.9
2021-01-23,32078.0
2021-01-22,32945.17
2021-01-21,30850.13
2021-01-20,35468.23
2021-01-19,35891.49
2021-01-18,36631.27
2021-01-17,35828.61
2021-01-16,35994.98
2021-01-15,36742.22
2021-01-14,39144.5
2021-01-13,37371.38
2021-01-12,34051.24
2021-01-11,35404.47
2021-01-10,38150.02
2021-01-09,40088.22
2021-01-08,40582.81
2021-01-07,39432.28
2021-01-06,36769.36
2021-01-05,33949.53
2021-01-04,31988.71
2021-01-03,33000.05
2021-01-02,32178.33
2021-01-01,29331.69
2020-12-31,28923.63
2020-12-30,28875.54
2020-12-29,27385.0
2020-12-28,27079.41
2020-12-27,26281.66
2020-12-26,26493.39
2020-12-25,24712.47
2020-12-24,23729.2
2020-12-23,23232.76
2020-12-22,23810.79
2020-12-21,22719.71
2020-12-20,23455.52
2020-12-19,23821.61
2020-12-18,23107.39
2020-12-17,22797.16
2020-12-16,21335.52
2020-12-15,19426.43
2020-12-14,19273.14
2020-12-13,19174.99
2020-12-12,18808.69
2020-12-11,18036.53
2020-12-10,18254.63
2020-12-09,18541.28
2020-12-08,18324.11
2020-12-07,19166.9
2020-12-06,19359.4
2020-12-05,19147.66
2020-12-04,18650.52
2020-12-03,19421.9
2020-12-02,19204.09
2020-12-01,18764.96
2020-11-30,19695.87
2020-11-29,18184.99
2020-11-28,17719.85
2020-11-27,17139.52
2020-11-26,17149.47
2020-11-25,18719.11
2020-11-24,19160.01
2020-11-23,18368.0
2020-11-22,18414.43
2020-11-21,18703.8
2020-11-20,18655.67
2020-11-19,17802.82
2020-11-18,17776.12
2020-11-17,17659.38
2020-11-16,16713.57
2020-11-15,15957.0
2020-11-14,16070.45
2020-11-13,16320.7
2020-11-12,16291.86
2020-11-11,15684.24
2020-11-10,15297.21
2020-11-09,15328.41
2020-11-08,15475.1
2020-11-07,14818.3
2020-11-06,15579.92
2020-11-05,15590.02
2020-11-04,14144.01
2020-11-03,14023.53
2020-11-02,13549.37
2020-11-01,13761.5
2020-10-31,13791.0
